"Ano";"Órgão Superior";"Órgão";"Unidade Gestora";"Categoria";"Origem";"Espécie";"Detalhamento";"Valor LOA";"Valor Atualizado";
"2022";"26000 - Ministério da Educação";"26248 - Universidade Federal Rural de Pernambuco";"153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19220111 - RESTITUICAO DE CONVENIOS-PRIMARIAS-PRINCIPAL";"0,00";"0,00";
"2022";"39000 - Ministério da Infraestrutura";"62201 - Agência Nacional de Aviação Civil";"113214 - AGENCIA NACIONAL DE AVIACAO CIVIL";"1 - Receitas Correntes";"13 - Receita Patrimonial ";"132 - Valores Mobiliários";"13210101 - REMUNERACAO DE DEPOSITOS BANCARIOS-PRINCIPAL";"106.958.734,00";"106.958.734,00";
"2022";"25000 - Ministério da Economia";"25000 - Ministério da Economia - Unidades com vínculo direto";"170013 - SETORIAL ORCAMENTARIA E FINANCEIRA / ME";"1 - Receitas Correntes";"11 - Impostos, Taxas e Contribuições de Melhoria";"112 - Taxas";"11210702 - TAXA DE UTILIZACAO DO MERCANTE-TUM-MUL.JUR.";"0,00";"0,00";
"2022";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"20501 - Conselho Nacional de Desenvolvimento Científico e Tecnológico";"364001 - CNPQ - ADMINISTRACAO CENTRAL";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19229901 - OUTRAS RESTITUICOES-PRINCIPAL";"30.496,00";"30.496,00";
"2022";"26000 - Ministério da Educação";"26246 - Universidade Federal de Santa Catarina";"153163 - UNIVERSIDADE FEDERAL DE SANTA CATARINA";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19239901 - OUTROS RESSARCIMENTOS-PRINCIPAL";"0,00";"0,00";
"2022";"52000 - Ministério da Defesa";"52904 - Fundo do Exército";"167086 - FUNDO DO EXERCITO";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"191 - Multas administrativas, contratuais e judiciais ";"19110901 - MULTAS E JUROS PREVISTOS EM CONTRATOS-PRINC.";"77.085,00";"77.085,00";
"2022";"41000 - Ministério das Comunicações";"41232 - Fundo de Universalização dos Serviços de Telecomunicações";"413047 - FUNDO DE UNIVERS.DOS SERV.TELECOMUNICACOES";"7 - Receitas Correntes - intra-orçamentárias";"73 - Receita Patrimonial";"733 - Receita de concessões e permissões";"73330411 - CESS.DIR.USO.RADFRQ-NAO.P.ORBITAIS/PRC-INTRA";"0,00";"0,00";
"2022";"40000 - Ministério do Trabalho";"37904 - Fundo do Regime Geral da Previdência Social";"513001 - COORDENACAO DE ORCAMENTO E FINANCAS DO FRGPS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"199 - Demais receitas correntes";"19999922 - OUTRAS REC.N.ARREC.N.PROJ.RFB-PRIM.-MUL.JUR.";"16.853.328,00";"16.853.328,00";
"2022";"25000 - Ministério da Economia";"30203 - Instituto Nacional de Metrologia, Qualidade e Tecnologia";"183023 - INSTITUTO NAC.DE METROLOG. QUALID. E TECNOLOG";"2 - Receitas de Capital";"22 - Alienação de Bens";"221 - Alienação de bens móveis";"22130101 - ALIENACAO DE BENS MOVEIS E SEMOVENTES-PRINC.";"0,00";"0,00";
"2022";"26000 - Ministério da Educação";"26278 - Fundação Universidade Federal de Pelotas";"154047 - FUNDACAO UNIVERSIDADE FEDERAL DE PELOTAS";"1 - Receitas Correntes";"19 - Outras Receitas Correntes";"192 - Indenizações, restituições e ressarcimentos";"19239901 - OUTROS RESSARCIMENTOS-PRINCIPAL";"0,00";"0,00";
